Dirección;Localidad;Teléfono;email;Entidad_Titular;Sector;servicio_id;cod_catalogo;des_catalogo;CUSEC;Seccion_id
CALLE DIEZ TARAVILLA 4;CIUDAD-RODRIGO;923 460693;cd.ciudadrodrigo@caritas.es;CARITAS DIOCESANA DE CIUDAD RODRIGO;INCLUSIÓN SOCIAL;238;1.10;Servicio de información especializada sobre inclusión social;3710703001;1689
AVENIDA SALAMANCA 29;ESPINO DE LA ORBADA;669 715935;residencia.salamanca@gmail.com;RESIDENCIA ESPINO DE LA ORBADA S.L;PERSONAS MAYORES;244;29.13;Servicio de atención residencial para personas mayores en situación de dependencia;3723101001;1811
CALLE MARISECA 1 BAJO;SALAMANCA;923 186893;fundacionasprodes@asprodes.es;FUNDACIÓN ASPRODES INCLUSIÓN;INCLUSIÓN SOCIAL;259;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;3727402006;1874
CALLE MARISECA 1;SALAMANCA;923 186893;fundacionasprodes@asprodes.es;FUNDACIÓN ASPRODES INCLUSIÓN;PERSONAS MAYORES;260;29.13;Servicio de atención residencial para personas mayores en situación de dependencia;3727402006;1874
CALLE CRUZ ROJA 1;SALAMANCA;923 221032;salamanca@cruzroja.es;CRUZ ROJA ESPAÑOLA;PERSONAS MAYORES;261;9.3;Servicio de adquisición de competencias para la vida autónoma;3727405008;1938
CALLE CARCEL 1;ZORITA DE LA FRONTERA;;sbasociadosjyp@hotmail.com;S&B ASOCIADOS SERVICIO DEPENDENCIA 2015, S.L.;PERSONAS MAYORES;271;29.13;Servicio de atención residencial para personas mayores en situación de dependencia;3738201001;2096
ALTO PIEDAD (LA) S/N;SEGOVIA;921 431608;segovia@asociacionamanecer.org;ASOCIACIÓN AMANECER-SALUD MENTAL SEGOVIA;INCLUSIÓN SOCIAL;280;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;4019404001;2305
CALLE CABALLEROS 1;LAGUNA DE DUERO;983 540058;servicios.sociales@lagunadeduero.org;AYUNTAMIENTO DE LAGUNA DE DUERO;(FAMILIA);307;12.10;Servicio de apoyo familiar para la inclusión social;4718604040;2913
CALLE JUAN DE ALAMOS S/N;MEDINA DEL CAMPO;983 811020;rosa.vegas@ayto-medinadelcampo.es;AYUNTAMIENTO DE MEDINA DEL CAMPO;POBLACIÓN GENERAL;308;31.1;Servicio de distribución coordinada de alimentos;4708501006;2719
CALLE MEDIANA 5;MEDINA DE RIOSECO;983 725000;colectivo@cdrtcampos.es;COLECTIVO PARA EL DESARROLLO RURAL TIERRA CAMPOS;INCLUSIÓN SOCIAL;313;2.5;Servicio de valoración, orientación y planificación de caso para la inclusión social;4708601001;2728
CALLE RASTROJO 4;PEÑAFIEL;914 719719;progestionvalladolid@progestion.org;ASOCIACIÓN PROGESTIÓN;INCLUSIÓN SOCIAL;320;29.10;Servicio de alojamiento para personas sin hogar;4711401002;2764
CALLE POZO 10;ALDEASECA;920 306039;;CARLOTA FERNANDEZ MARTIN;PERSONAS MAYORES;327;29.13;Servicio de atención residencial para personas mayores en situación de dependencia;0525901001;295
CALLE PERPETUO SOCORRO 20;AVILA;920 223194;oficina@pronisa.org;PRONISA PLENA INCLUSIÓN ÁVILA;INCLUSIÓN SOCIAL;329;26.16;Servicio de apoyo para la inclusión social;0501905004;44
PLAZA SAN FRANCISCO (DE) 3;AVILA;920 224848;castillayleon@cruzroja.es;CRUZ ROJA ESPAÑOLA;VOLUNTARIADO;331;1.13;Servicio de información especializada sobre voluntariado;0501906012;56
CALLE ISAAC PERAL 18  2ª PL;AVILA;920 213138;avila@fademur.es;FADEMUR ÁVILA, ASOCIACIÓN DE MUJERES RURALES DE ÁVILA;MUJER;332;1.6;Servicio de información especializada sobre mujer;0501901002;23
AVENIDA MADRID (DE) 6;AVILA;920 352340;caritas.cdavila@caritas.es;CÁRITAS DIOCESANA DE ÁVILA;INCLUSIÓN SOCIAL;333;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;0501901002;23
CALLE PRINCIPE DON JUAN Nº 8;AVILA;920 352340;;CÁRITAS DIOCESANA DE ÁVILA;INCLUSIÓN SOCIAL;334;2.5;Servicio de valoración, orientación y planificación de caso para la inclusión social;0501905004;44
CALLE VALLE DEL CORNEJA 6;AVILA;920 252716;ESCUELAS@ESCUELASCAMPESINAS.ORG;ASOCIACIÓN CULTURAL ESCUELAS CAMPESINAS DE ÁVILA;INCLUSIÓN SOCIAL;335;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;0501904014;40
CALLE VICENTA MANZANEDO, Nº 16 1º IZQUIERDA;AVILA;666 532610;avila@accem.es;ACCEM;INCLUSIÓN SOCIAL;339;29.10;Servicio de alojamiento para personas sin hogar;0501905004;44
CALLE CAPITAN MENDEZ VIGO 10 BJ;AVILA;920 352732;faemats@asociacionfaema.org;FAEMA SALUD MENTAL ÁVILA;PERSONAS CON DISCAPACIDAD;341;9.2;Servicio de promoción de hábitos y estilos de vida saludables;0501905004;44
CALLE ANTONIO BACIERO S/N;ARANDA DE DUERO;947 462004;administracion@apaceburgos.com;ASOCIACIÓN DE AFECTADOS DE PARÁLISIS CEREBRAL Y AFINES (APACE-BURGOS);(FAMILIA);364;12.9;Serv.formación de cuidadores/as no profesionales de personas con dependencia;0901803005;339
CALLE JUAN BRAVO 2;ARANDA DE DUERO;947 546080;direccion@saludmentalaranda.org;ASOCIACION SALUD MENTAL ARANDA;INCLUSIÓN SOCIAL;365;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;0901803005;339
CALLE DON SILVERIO VELASCO 2;ARANDA DE DUERO;947 500075;etristan@arandadeduero.es;AYUNTAMIENTO DE ARANDA DE DUERO;INCLUSIÓN SOCIAL;366;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;0901803005;339
PLAZA ROMA 16 6º G;BURGOS;619 742712;burgos@accem.es;ACCEM;INCLUSIÓN SOCIAL;377;29.10;Servicio de alojamiento para personas sin hogar;0905905048;450
CALLE FEDERICO OLMEDA 1;BURGOS;947 238562;asociacion@aspaniasburgos.com;ASOCIACIÓN DE PADRES Y FAMILIARES DE PERSONAS CON DISCAPACIDAD INTELECTUAL O DEL DESARROLLO  (ASPANIAS);PERSONAS CON DISCAPACIDAD;378;30.2;Servicio de protección jurídica y ejercicio de la tutela de las personas mayores de edad c;0905905035;437
CALLE CONDESA MENCIA 150;BURGOS;947 238562;fundacion@aspaniasburgos.com;FUNDACIÓN ASPANIAS BURGOS;PERSONAS CON DISCAPACIDAD;380;13.49;Serv.atención en centros a personas situación dependencia por descanso cuidador o cuidadora;0905905035;437
CALLE CRUZ ROJA S/N;BURGOS;947 212311;burgos@cruzroja.es;CRUZ ROJA ESPAÑOLA;INCLUSIÓN SOCIAL;381;26.16;Servicio de apoyo para la inclusión social;0905905035;437
AVENIDA INDEPENDENCIA 5;BURGOS;947 462004;administracion@apaceburgos.com;ASOCIACIÓN DE AFECTADOS DE PARÁLISIS CEREBRAL Y AFINES (APACE-BURGOS);PERSONAS CON DISCAPACIDAD;382;1.8;Servicio de información especializada sobre discapacidad;0905903004;391
CALLE MONROY 2-4;SALAMANCA;923 299698;;CARITAS DIOCESANA DE SALAMANCA;INCLUSIÓN SOCIAL;409;29.10;Servicio de alojamiento para personas sin hogar;3727401006;1862
CALLE BLANCA DE SILOS 1;SEGOVIA;947 207652;betania@adoratricesb.org;COMUNIDAD ADORATRICES BURGOS;MUJER;428;2.3;Serv.valoración, orientación, planificación caso - situaciones de violencia de género;4019405003;2317
CALLE CALLE ALTOS DE LA PIEDAD S/N;SEGOVIA;921 431608;;ASOCIACIÓN AMANECER-SALUD MENTAL SEGOVIA;PERSONAS CON DISCAPACIDAD;430;27.4;Servicio de apoyo para la integración sociolaboral de las personas con discapacidad;4019404001;2305
CALLE RIAZA 6;SEGOVIA;921 462820;caritas@caritassegovia.es;CÁRITAS DIOCESANA DE SEGOVIA;TOXICOMANÍAS Y ADICCIONES;432;26.20;Serv.de intervención con menores y jóvenes con consumo problemático de drogas y sus familias;4019407004;2331
POLIGONO INDUSTRIAL LAS CASAS PARCELA 240;SORIA;975 212455;direc.cdosoria@caritas.es;CÁRITAS DIOCESANA DE OSMA-SORIA;INCLUSIÓN SOCIAL;442;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;4217302012;2542
CALLE SANTO DOMINGO DE SILOS 1;SORIA;975 234650;tirigoyen@cruzoja.es;CRUZ ROJA ESPAÑOLA;INCLUSIÓN SOCIAL;443;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;4217301001;2523
PLAZA DE ESPAÑA;ARROYO;983 407888;REGISTRO@AYTOARROYO.ES;AYUNTAMIENTO DE ARROYO DE LA ENCOMIENDA;POBLACIÓN GENERAL;451;2.1;Servicio de valoración, orientación, planificación de caso y seguimiento;4701001001;2600
CALLE OLLEROS 1;MAYORGA;618 617021;INFO@VALDECEA.COM;ASOCIACION CENTRO DE DESARROLLO RURAL VALDECEA;INFANCIA (Y JUVENTUD);462;17.4;Atención lúdica infantil conciliación vida laboral y familiar en vacaciones (Conciliamos);4708401001;2713
PASAJE MARQUESINA 15;VALLADOLID;983 399643;vrojo@ymca.es;ALIANZA CRISTIANA DE JOVENES DE LA YMCA;(FAMILIA);482;10.2;Serv.actuaciones preventivas para familias con hijos/as menores en situación de riesgo;4718603003;2872
CALLE MARINA DE ESCOBAR 3;VALLADOLID;981 269955;meninos@meninos.org;FUNDACIÓN MENIÑOS;(FAMILIA);483;1.5;Serv.información especializada sobre la búsqueda de los orígenes de la persona adoptada;4718601001;2851
PASAJE MARQUESINA 15;VALLADOLID;983 399643;vrojo@ymca.es;ALIANZA CRISTIANA DE JOVENES DE LA YMCA;INCLUSIÓN SOCIAL;484;12.10;Servicio de apoyo familiar para la inclusión social;4718603003;2872
PASEO HOSPITAL MILITAR 36 1º PLANTA;VALLADOLID;;direccion@saludmentalcyl.org;FEDERACIÓN SALUD MENTAL CASTILLA Y LEÓN (FEAFES CYL);INCLUSIÓN SOCIAL;485;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;4718602012;2864
PASAJE MARQUESINA 15;VALLADOLID;983 399643;vrojo@ymca.es;ALIANZA CRISTIANA DE JOVENES DE LA YMCA;INFANCIA (Y JUVENTUD);486;27.1;Serv. apoyo para integración sociolaboral de menores provenientes de sistemas de infancia;4718603003;2872
CALLE POLVORA 5;VALLADOLID;983 132828;;CRUZ ROJA ESPAÑOLA;INFANCIA (Y JUVENTUD);487;26.5;Servicio de apoyo a menores con conductas violentas en la familia;4718607005;2957
CALLE PAJARILLOS 1;VALLADOLID;987 034117;tatiana@fundacionjuans.org;FUNDACIÓN JUAN SOÑADOR;INCLUSIÓN SOCIAL;488;26.16;Servicio de apoyo para la inclusión social;4718604040;2913
CALLE CONDE DE ARTECHE S/N;VALLADOLID;983 268433;proyecto.social@entrevecinosvalladolid.es;ASOCIACIÓN DE VECINOS UNIÓN ESGUEVA;INCLUSIÓN SOCIAL;489;1.10;Servicio de información especializada sobre inclusión social;4718608036;3511
CALLE PASION 13;VALLADOLID;627 048183;infodal@infodal.org;FUNDACION INFODAL;PERSONAS MAYORES;490;9.5;Servicio de promoción del conocimiento y la adquisición de habilidades;4718601001;2851
CALLE MARIANO GARCIA ABRIL Nº 4 LOCAL 7;VALLADOLID;983 115786;info@avatdah.org;ASOCIACION VALLISOLETANA DE PERSONAS AFECTADAS POR EL TRASTORNO DE DEFICIT DE ATENCION Y/O HIPERACTIVIDAD - AVATDAH;POBLACIÓN GENERAL;492;10.1;Servicio de acción social comunitaria y promoción de la solidaridad;4718610051;3056
CALLE DON SANCHO Nº 17;VALLADOLID;687 584633;valladolid@accem.es;ACCEM;INCLUSIÓN SOCIAL;494;2.5;Servicio de valoración, orientación y planificación de caso para la inclusión social;4718605002;2916
AVENIDA EURO 7;VALLADOLID;983 330603;beatriz.sedano@formacal.com;FORMACAL S.L.;PERSONAS MAYORES;496;9.5;Servicio de promoción del conocimiento y la adquisición de habilidades;4718610001;3514
AVENIDA EURO 7;VALLADOLID;983 330603;beatriz.sedano@formacal.com;FORMACAL S.L.;PERSONAS MAYORES;497;9.5;Servicio de promoción del conocimiento y la adquisición de habilidades;4718610001;3514
PLAZA FUENTE DORADA Nº 5;VALLADOLID;619 036986;dialogasex@gmail.com;DIALOGASEX;INFANCIA (Y JUVENTUD);499;26.7;Servicio de intervención educativa con menores infractores/as en medio abierto;4718605002;2916
PASEO CAUCE Nº 31;VALLADOLID;983 202301;lsanz@caritasvalladolid.es;CARITAS DIOCESANA DE VALLADOLID;INCLUSIÓN SOCIAL;500;1.10;Servicio de información especializada sobre inclusión social;4718607022;3510
PLAZA DOCTOR MARAÑON Nº 2;VALLADOLID;983 202301;lsanz@caritasvalladolid.es;CARITAS DIOCESANA DE VALLADOLID;INCLUSIÓN SOCIAL;501;1.10;Servicio de información especializada sobre inclusión social;4718607022;3510
CALLE SAN BENITO Nº 1;VALLADOLID;983 426105;sints@ava.es;AYUNTAMIENTO DE VALLADOLID;POBLACIÓN GENERAL;502;2.1;Servicio de valoración, orientación, planificación de caso y seguimiento;4718609001;3001
CALLE SAN BENITO Nº 1;VALLADOLID;983 426105;sints@ava.es;AYUNTAMIENTO DE VALLADOLID;INCLUSIÓN SOCIAL;503;26.16;Servicio de apoyo para la inclusión social;4718609001;3001
CALLE PAJARILLOS 1;VALLADOLID;983 302823;info@alestecasaj.org;ASOCIACION CASA DE JUVENTUD ALESTE;MUJER;504;1.6;Servicio de información especializada sobre mujer;4718604040;2913
PLAZA PORTUGALETE 4;VALLADOLID;983 225125;notificaciones.administracion@fundacionpersonas.es;FUNDACIÓN PERSONAS;(FAMILIA);507;12.10;Servicio de apoyo familiar para la inclusión social;4718605002;2916
CALLE MARIANO GARCIA ABRIL Nº 4;VALLADOLID;646 2543332;presidenciafacyltdah@gmail.com;FEDERACIÓN DE ASOCIACIONES DE CASTILLA Y LEÓN DEL TRASTORNO DE DÉFICIT DE ATENCIÓN CON O SIN HIPERACTIVIDAD (FACYL-TDAH);(FAMILIA);508;12.8;Serv.apoyo familiar -promoción autonomía personal-situaciones de dependencia y/o discapacidad;4718610051;3056
CALLE GREGORIO FERNANDEZ Nº 8 2º H;VALLADOLID;697 117270;valladolid@accem.es;ACCEM;INCLUSIÓN SOCIAL;523;29.10;Servicio de alojamiento para personas sin hogar;4718602012;2864
PLAZA RIBERA DE CASTILLA Nº 11 3ºD;VALLADOLID;697 117270;valladolid@accem.es;ACCEM;INCLUSIÓN SOCIAL;524;29.10;Servicio de alojamiento para personas sin hogar;4718608036;3511
AVENIDA EURO 7;VALLADOLID;983 330603;beatriz.sedano@formacal.com;FORMACAL S.L.;PERSONAS MAYORES;533;9.1;Servicio de prevención de la situación de dependencia;4718610001;3514
PLAZA ESPAÑA 12;VALLADOLID;983 307083;;FUNDACION RED INCOLA;INCLUSIÓN SOCIAL;540;2.5;Servicio de valoración, orientación y planificación de caso para la inclusión social;4718601001;2851
CALLE RUIZ HERNANDEZ 10;VALLADOLID;983 307083;;FUNDACION RED INCOLA;INCLUSIÓN SOCIAL;545;29.10;Servicio de alojamiento para personas sin hogar;4718605002;2916
AVENIDA SANTANDER 14;VALLADOLID;983 251928;;HERMANOS DE LA INSTRUCCIÓN CRISTIANA DE VALLADOLID;INCLUSIÓN SOCIAL;549;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;4718607022;3510
CALLE NOGAL 1;VALLADOLID;983 393075;;ASOCIACIÓN CASTELLANO-LEONESA DE JUGADORES REHABILITADOS MIGUEL DELIBES;TOXICOMANÍAS Y ADICCIONES;556;2.6;Servicio general de información, orientación, apoyo y seguimiento a personas drogodependientes;4718603003;2872
CALLE MIRABEL 9;VALLADOLID;983 378285;;FUNDACION ADSIS;INFANCIA (Y JUVENTUD);562;29.2;Servicio de atención residencial para la transición de menores de edad a la vida adulta;4718609001;3001
CALLE VALDEBUFO 25;VILLARALBO;;asociacionruralza@gmail.com;ASOCIACIÓN RURALZA;PERSONAS CON DISCAPACIDAD;640;1.8;Servicio de información especializada sobre discapacidad;4926101001;3409
CALLE COLON 19;ZAMORA;686 123034;asociacionadasci@gmail.com;ASOCIACIÓN PARA EL DESARROLLO, APOYO SOCIAL, COOPERACIÓN E INCLUSIÓN (ADASCI);(FAMILIA);645;12.7;Servicio de apoyo personal y familiar para las víctimas de violencia de género;4927502006;3442
PLAZA ZORRILLA 1;ZAMORA;980 535305;cylcae@cylcae.org;CÍRCULO DE AUTÓNOMOS Y EMPRENDEDORES DE CASTILLA Y LEÓN;MUJER;646;26.8;Serv. Acompañamiento, orientación jurídico social a mujer víctima violencia de género;4927501003;3424
CALLE QUINTIN ALDEA 1;ZAMORA;980 536831;direccion@feafeszamora.es;ASOCIACIÓN FEAFES ZAMORA (ASOCIACIÓN DE FAMILIARES Y AMIGOS DE ENFERMOS MENTALES DE ZAMORA);INCLUSIÓN SOCIAL;647;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;4927503004;3457
CALLE HERNAN CORTES 42;ZAMORA;980 523300;zamora@cruzroja.es;CRUZ ROJA ESPAÑOLA;PERSONAS CON DISCAPACIDAD;648;9.4;Servicio de promoción de la relación con el entorno;4927502014;3450
PLAZA SAN ESTEBAN S/N;ZAMORA;980 548700;mar.lera@zamora.es;AYUNTAMIENTO DE ZAMORA;(FAMILIA);650;10.2;Serv.actuaciones preventivas para familias con hijos/as menores en situación de riesgo;4927501002;3423
CALLE ALFONSO IX 8;ZAMORA;983 218453;notificacionez@foremcyl.es;FUNDACION FORMACION Y EMPLEO DE CASTILLA Y LEON (FOREMCYL);INCLUSIÓN SOCIAL;651;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;4927501011;3432
CALLE HERNAN CORTES 42;ZAMORA;980 523300;zamora@cruzroja.es;CRUZ ROJA ESPAÑOLA;INCLUSIÓN SOCIAL;652;26.16;Servicio de apoyo para la inclusión social;4927502014;3450
CALLE HERNAN CORTES 42;ZAMORA;980 523300;zamora@cruzroja.es;CRUZ ROJA ESPAÑOLA;VOLUNTARIADO;653;1.13;Servicio de información especializada sobre voluntariado;4927502014;3450
PLAZA SAN JOSE OBRERO 1;ZAMORA;980 548700;mar.lera@zamora.es;AYUNTAMIENTO DE ZAMORA;(FAMILIA);654;12.11;Servicio integral de apoyo a las familias en riesgo de desahucio por deuda hipotecaria;4927505009;3470
CALLE QUINTIN ALDEA,  Nº 1 LOCAL 2;ZAMORA;980 536831;;ASOCIACIÓN FEAFES ZAMORA (ASOCIACIÓN DE FAMILIARES Y AMIGOS DE ENFERMOS MENTALES DE ZAMORA);PERSONAS CON DISCAPACIDAD;655;24.11;Servicio de apoyo técnico a personas en situación de dependencia y/o discapacidad.;4927503004;3457
CALLE MARTINEZ VILLERGAS 2B 3ºA;ZAMORA;605 472166;azaycazamora@gmail.com;ASOCIACION ZAMORANA DE AYUDA FRENTE AL CANCER. AZAYCA;POBLACIÓN GENERAL;657;10.1;Servicio de acción social comunitaria y promoción de la solidaridad;4927501003;3424
CALLE HINIESTA 122;ZAMORA;980 509431;;HERMANOS DE LA INSTRUCCIÓN CRISTIANA DE ZAMORA;INFANCIA (Y JUVENTUD);665;29.2;Servicio de atención residencial para la transición de menores de edad a la vida adulta;4927505004;3465
AVENIDA MARTINEZ CATENA, 2;CEUTA (CIUDAD);947 257690;martap@arasti.com;SERVISOCIALES CANARIOS, S.L.;PERSONAS MAYORES;676;28.3;Servicio de atención en centros de día para personas mayores en situación de dependencia;0000000nan;
CALLE REAL 30;VILLAVERDE LA CHIQUITA;691 855474;asociacionjuvenilpuzzles@gmail.com;ASOCIACION JUVENIL PUZZLES;INCLUSIÓN SOCIAL;681;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;2418001001;1227
